friendlyName,externalLocationId,phoneNumber,email,addressLine1,addressLine2,city,state,zipCode,country,latitude,longitude,Monday-HoursOfOperation,Tuesday-HoursOfOperation,Wednesday-HoursOfOperation,Thursday-HoursOfOperation,Friday-HoursOfOperation,Saturday-HoursOfOperation,Sunday-HoursOfOperation
The UPS Store 0090,TUPSS0090,(619)232-0332,store0090@theupsstore.com,501 W BROADWAY,STE A,SAN DIEGO,CA,92101-3562,USA,32.71564,-117.167573,Monday 08:00 - 18:30,Tuesday 08:00 - 18:30,Wednesday 08:00 - 18:30,Thursday 08:00 - 18:30,Friday 08:00 - 18:30,Saturday 09:00 - 17:00,Sunday 11:00 - 16:00
The UPS Store 0007,TUPSS0007,(619)291-5678,store0007@theupsstore.com,302 WASHINGTON ST,,SAN DIEGO,CA,92103,USA,32.750254,-117.162613,Monday 08:00 - 19:00,Tuesday 08:00 - 19:00,Wednesday 08:00 - 19:00,Thursday 08:00 - 19:00,Friday 08:00 - 19:00,Saturday 09:00 - 17:00,Sunday 10:00 - 16:00
The UPS Store 3916,TUPSS3916,(619)697-0538,store3916@theupsstore.com,8810 JAMACHA BLVD,STE C,SPRING VALLEY,CA,91977,USA,32.707487,-117.008427,Monday 08:00 - 19:00,Tuesday 08:00 - 19:00,Wednesday 08:00 - 19:00,Thursday 08:00 - 19:00,Friday 08:00 - 19:00,Saturday 09:00 - 15:00,Sunday Closed
The UPS Store 0400,TUPSS0400,(858)453-7331,store0400@theupsstore.com,7770 REGENTS RD,STE 113,SAN DIEGO,CA,92122-1937,USA,32.862016,-117.222848,Monday 08:00 - 19:00,Tuesday 08:00 - 19:00,Wednesday 08:00 - 19:00,Thursday 08:00 - 19:00,Friday 08:00 - 19:00,Saturday 09:00 - 17:00,Sunday 11:00 - 16:00
The UPS Store 1841,TUPSS1841,(858)558-7147,store1841@theupsstore.com,6755 MIRA MESA BLVD,#123,SAN DIEGO,CA,92121-4311,USA,32.906235,-117.172577,Monday 09:00 - 19:00,Tuesday 09:00 - 19:00,Wednesday 09:00 - 19:00,Thursday 09:00 - 19:00,Friday 09:00 - 19:00,Saturday 10:00 - 18:00,Sunday 10:00 - 15:00
The UPS Store 6767,TUPSS6767,(858)798-5533,store6767@theupsstore.com,16769 BERNARDO CENTER DR,STE 1,SAN DIEGO,CA,92128,USA,33.017552,-117.073757,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 0746,TUPSS0746,(760) 943-8664,store0746@theupsstore.com,315 S Coast Hwy 101,Ste U,Encinitas,CA,92024,USA,33.0484996,-117.2960537,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 4679,TUPSS4679,(760) 752-3035,store4679@theupsstore.com,663 S Rancho Santa Fe Rd,,San Marcos,CA,92078,USA,33.1321996,-117.2076058,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 4113,TUPSS4113,(760) 722-2442,store4113@theupsstore.com,1759 Oceanside Blvd,Ste C,Oceanside,CA,92054,USA,33.1899069,-117.3616443,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 3607,TUPSS3607,(760)728-7799,store3607@theupsstore.com,1119 S MISSION AVE,,FALLBROOK,CA,92028-3225,USA,33.372169,-117.253183,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
The UPS Store 6011,TUPSS6011,(951)679-1023,store6011@theupsstore.com,27890 CLINTON KEITH RD,STE D,MURRIETA,CA,92562,USA,33.599445,-117.175964,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday Closed
The UPS Store 1329,TUPSS1329,(949)249-1200,store1329@theupsstore.com,30251 GOLDEN LANTERN,STE E,LAGUNA NIGUEL,CA,92677,USA,33.523559,-117.68781,Monday 08:30 - 19:30,Tuesday 08:30 - 19:30,Wednesday 08:30 - 19:30,Thursday 08:30 - 19:30,Friday 08:30 - 19:30,Saturday 09:00 - 18:00,Sunday 11:00 - 16:00
The UPS Store 2706,TUPSS2706,(951)471-0090,store2706@theupsstore.com,31500 GRAPE ST,STE 3,LAKE ELSINORE,CA,92532-9702,USA,33.65976,-117.293526,Monday 08:00 - 18:00,Tuesday 08:00 - 18:00,Wednesday 08:00 - 18:00,Thursday 08:00 - 18:00,Friday 08:00 - 18:00,Saturday 09:00 - 17:00,Sunday 11:00 - 15:00
The UPS Store 0026,TUPSS0026,(949) 859-7193,store0026@theupsstore.com,25422 Trabuco Rd,Ste 105,Lake Forest,CA,92630,USA,33.6477201,-117.689475,Monday 08:30 - 18:30,Tuesday 08:30 - 18:30,Wednesday 08:30 - 18:30,Thursday 08:30 - 18:30,Friday 08:30 - 18:30,Saturday 09:00 - 17:00,Sunday 10:00 - 15:00
